"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Follows,Comments,Saves
18101389360834274,17841401519683378,moataz_mashal,"Moataz Mashal","طيبتك الزايدة مرات ما بتكون كرم، 
بتكون رشوة وانت مش حاسس.
بتعطي أكتر من طاقتك، وبتسميه تضحية.
بس أول ما ينرفضلك طلب، بتطلع الحقيقة.
العطاء اللي بده مقابل… مش محبة.",59,"01/06/2026 07:04",https://www.instagram.com/reel/DTLG_7eE3wO/,"IG reel",,Lifetime,98074,64339,2631,888,74,68,740
17921640585212861,17841401519683378,moataz_mashal,"Moataz Mashal","تذكر إنه الله موجود",21,"01/07/2026 06:59",https://www.instagram.com/reel/DTNrKu4CMYh/,"IG reel",,Lifetime,96284,59999,2777,705,61,58,584
18101995426650625,17841401519683378,moataz_mashal,"Moataz Mashal","غير مصدر السؤال، رح تتغير النتائج",63,"01/08/2026 07:57",https://www.instagram.com/reel/DTQWoIfiC5j/,"IG reel",,Lifetime,60566,39811,1310,361,20,28,328
18035617616751700,17841401519683378,moataz_mashal,"Moataz Mashal","مش كل عصبية سببها لحظتها.
أحيانًا اللي بينفجر… وجع قديم ما انحكى.

صارت معك قبل هيك؟",68,"01/15/2026 08:02",https://www.instagram.com/reel/DTiYyWME2pO/,"IG reel",,Lifetime,80991,52940,2237,685,38,41,500
18152419756384960,17841401519683378,moataz_mashal,"Moataz Mashal","الفشل إنك تضل “إمكانية” وما تصير فعل.
الفعل ممكن يوجعك وتخسر، بس بدون تطبيق ما رح تكسب، ولا تتغيّر، ولا تتقدّم خطوة.
تحرّك… وكن فعل، مش مجرد احتمال.",0,"01/17/2026 07:49",https://www.instagram.com/reel/DTngwlYiK4z/,"IG reel",,Lifetime,87145,56452,2611,791,125,51,1005
18435922963111941,17841401519683378,moataz_mashal,"Moataz Mashal",".
جسمك ما بيكذب، جسمك بيعطيك إشارات، لما بتتعب بيوجعك… ولما بتمرض بيصرخ.... القوة إنك تسمعه وتعتني فيه.
جسمك مش عائق بطريقك… جسمك هو اللي رح يساعدك تمشي في طريقك.
متى آخر مرة اعتنيت بجسمك و كيف؟",0,"01/18/2026 06:32",https://www.instagram.com/reel/DTp8udbCGiy/,"IG reel",,Lifetime,71650,45646,2031,688,52,31,393
17885529030428539,17841401519683378,moataz_mashal,"Moataz Mashal","شارك  الفيديو مع الي مستني بكرة….",0,"01/19/2026 08:31",https://www.instagram.com/reel/DTsvVprkx09/,"IG reel",,Lifetime,55918,35233,1067,175,6,20,233
17855951928603406,17841401519683378,moataz_mashal,"Moataz Mashal","⁨	عمرك حسيت انه كل شي تمام و العلاقة ماشيه و فجأة اجاك شعور إنك.
 لازم تبعد بدون مبرر؟ 
هاد بيكون برنامجك الداخلي متعود إنه كل علاقة خطر..
اكسر هاد البرنامج و ثق بربنا و بالشخص الآخر و اعطي حالك الفرصة إنك تتقرب و اعطي الشخص الآخر الفرصة إنه يثبتلك إنه آمن.

عمرك هربت من علاقة بدون ما تعرف ليش بعدت؟⁩",69,"01/20/2026 08:00",https://www.instagram.com/reel/DTvQl81k3v-/,"IG reel",,Lifetime,61914,40089,1409,369,27,27,449
18102586543825741,17841401519683378,moataz_mashal,"Moataz Mashal","مريت بهاي المرحلة مع أطفالك؟",0,"01/21/2026 08:02",https://www.instagram.com/p/DTx1qZuiPcB/,"IG carousel",,Lifetime,266134,112175,2862,3836,61,13,1530
18077222300365113,17841401519683378,moataz_mashal,"Moataz Mashal","متى آخر مرة وقفت مع حالك واخدت قرار كان لازم تاخده من زمان؟",20,"01/22/2026 08:07",https://www.instagram.com/reel/DT0azKbCCmT/,"IG reel",,Lifetime,119789,78279,3787,686,176,49,781
17913841731274064,17841401519683378,moataz_mashal,"Moataz Mashal",".
اكبر كذبة،
انك لازم إتضلك مشغول عشان تنجح، علطول مشغول بدون راحة.",71,"01/25/2026 06:44",https://www.instagram.com/reel/DT7_ZHlCHzZ/,"IG reel",,Lifetime,438110,327791,12793,7317,1786,147,4403
18016794656640220,17841401519683378,moataz_mashal,"Moataz Mashal","⁨	اهم سؤال بحياتك "" لماذا أريد ما أريد""؟

متى آخر مرة سألت حالك ""ليش"" بسوي هاد الآشي، أو ""ليش"" بدي أوصل لهاد المكان اللي عم بسعى لأوصل له؟⁩",10,"01/26/2026 04:03",https://www.instagram.com/reel/DT-Rx9Gk3DG/,"IG reel",,Lifetime,82829,45362,917,190,3,12,282
17923648932228966,17841401519683378,moataz_mashal,"Moataz Mashal","ما في بعد الاهتمام، والاهتمام بالأمور الصغيرة قبل الكبيرة.",0,"01/27/2026 07:37",https://www.instagram.com/p/DUBPgHOk8OY/,"IG carousel",,Lifetime,167507,54768,1546,674,1,14,922
18104584207809164,17841401519683378,moataz_mashal,"Moataz Mashal","بطل تحلل و بلش حلّ",70,"01/28/2026 06:30",https://www.instagram.com/reel/DUD27c6E-Fz/,"IG reel",,Lifetime,90028,60276,2907,1014,178,69,922
17852715543584044,17841401519683378,moataz_mashal,"Moataz Mashal",".
اسأل نفسك بصدق، هل صلاتك اثرت على تصرفاتك؟ على افكارك؟ 
هل غنمت منها مرادها؟",0,"01/29/2026 10:02",https://www.instagram.com/p/DUGptj4CLiB/,"IG image",,Lifetime,30258,14538,569,1,2,14,14
18088181654321431,17841401519683378,moataz_mashal,"Moataz Mashal","مراثون دبي تايم - 42 كيلومتر 

النية = ان أكون افضل واقوى من معتز (ما قبل المارثون) نفسيا وبدنيا وروحانيا 👊🏻

الهدف = الاستمتاع ❤️💪🏼 والتحضير للFull Ironman في البرتغال شهر 10 -2026 

دعواتكم ❤️🙏🏼",0,"01/31/2026 05:27",https://www.instagram.com/p/DULT3fhCJEE/,"IG carousel",,Lifetime,137962,52182,1258,33,5,56,34
18550597219030997,17841401519683378,moataz_mashal,"Moataz Mashal",".
والله سويناها حبابيبي ❤️ 42 كيلو من اول محاولة ، اللهم لك الحمد كما ينبغي لجلال وجهك وعظيم سلطانك🙏🏼

شكراً يا الله انك سمحتلي بهيك مغامرة 🙏🏼 بحبك كثير كثير 💙

Full Ironman Portugal 2026 , يا ويلك مني 👊🏻💪🏼

شكراً للتنظيم الخرافي 

مش قادر اكتب اكثر ، أو امشي، أو آكل، أو احكي… 😂😂 

ولكم I love u allll ❤️💙❤️",0,"02/01/2026 04:10",https://www.instagram.com/p/DUNvyEbCP3I/,"IG carousel",,Lifetime,155155,57083,2116,22,1,134,40
18119142454595713,17841401519683378,moataz_mashal,"Moataz Mashal","زي ما بدك إياهم يوقفوا معك، وقف معهم من كل قلبك، مش لإشي ولكن لوجه الله وشوف كيف حترجع لحياتك أضعاف مضاعفة ... 💪",43,"02/02/2026 08:02",https://www.instagram.com/reel/DUQvEM4kxor/,"IG reel",,Lifetime,79525,54534,2465,357,65,34,480
17977852310985739,17841401519683378,moataz_mashal,"Moataz Mashal","⁨	⁨	⁨	عندك بوصلة ولا سايبها هيك كل يوم بيومه؟!⁩⁩⁩",70,"02/04/2026 07:59",https://www.instagram.com/reel/DUV4I6WCMVz/,"IG reel",,Lifetime,54591,37135,1316,203,30,34,315
17868764139456010,17841401519683378,moataz_mashal,"Moataz Mashal","⁨	ما تعلق سعادتك بحدا، السعادة الحقيقة بتيجي لما ترضى و تعلق قلبك بالله. ❤️⁩",31,"02/05/2026 07:57",https://www.instagram.com/reel/DUYc0oJCPNA/,"IG reel",,Lifetime,65905,40714,1522,548,35,20,397
17933540562171722,17841401519683378,moataz_mashal,"Moataz Mashal","كل واحد بحياتك هو رسول برسالة، هل وصلتك الرسالة؟",0,"02/06/2026 08:04",https://www.instagram.com/reel/DUbCbocCK1U/,"IG reel",,Lifetime,528881,382791,24640,12128,6854,392,7192
17938936875118532,17841401519683378,moataz_mashal,"Moataz Mashal","⁨	عندك هاد الصديق؟ سويله تاج و احكيله كلمة من قلبك 🌹🌹",0,"02/07/2026 07:58",https://www.instagram.com/p/DUdmueCiOEO/,"IG carousel",,Lifetime,302514,123998,6559,4825,62,245,2563
18143272567475257,17841401519683378,moataz_mashal,"Moataz Mashal","‏من أكبر المشاكل في العلاقات أن يعتقد طرف من الطرفين أن واجبه هو الاستقبال فقط، وأن العطاء مشروط. والعلاقة التي تبنى على طرف واحد للعطاء مصيرها التعب والإرهاق…..",0,"02/08/2026 08:12",https://www.instagram.com/reel/DUgM296CB0E/,"IG reel",,Lifetime,206249,128763,6356,2044,239,69,2071
18066363647639089,17841401519683378,moataz_mashal,"Moataz Mashal","⁨	التفكير في المستقبل اللي بيخليك مُحبط، بيكون جاي من القلق مش من التخطيط و التطوير لتكون أفضل، استخدم خيالك لصالحك مش ضدك

وخلي خيالك يوديك على شو ممكن يكون صح مش شو ممكن يكون غلط..⁩",26,"02/09/2026 08:02",https://www.instagram.com/reel/DUiwr3ZiKmO/,"IG reel",,Lifetime,54278,35333,1347,290,15,14,336
17849968326633616,17841401519683378,moataz_mashal,"Moataz Mashal","كمل الفيديو ليصلك PDF 
رائع عن شو هو التوتر وكيف بيزيد بحياتك وكيف تتخلص منه بتمرين بسيط.",95,"02/10/2026 07:58",https://www.instagram.com/reel/DUlUfYriM2a/,"IG reel",,Lifetime,276857,190227,9686,4259,1129,2340,4767
18093966686313258,17841401519683378,moataz_mashal,"Moataz Mashal","⁨أوقات بتحس إنك كبرت الموضوع؟!
اسمع الفيديو للآخر لتفهم ليش هيك بيصير معك وكيف ممكن تتعامل مع المواقف الجاية عشان ما تكبرها 🙂⁩",0,"02/11/2026 08:43",https://www.instagram.com/reel/DUn-m2dEzPw/,"IG reel",,Lifetime,102175,68005,3815,1453,117,57,1063
17861733897524141,17841401519683378,moataz_mashal,"Moataz Mashal","يمكن المشكلة مش بالوقت… يمكن بالفكرة اللي حبسيتك و عم تخليك تضيع كتيير وقت بدون أي تقدم..

شو المعتقد اللي مخليك واقف بمكانك من سنين ونفسك تتخلص منه؟",28,"02/12/2026 08:00",https://www.instagram.com/reel/DUqe4N7k6Os/,"IG reel",,Lifetime,151157,110398,6702,1563,844,61,1461
17893736568406928,17841401519683378,moataz_mashal,"Moataz Mashal","⁨	خطوات بسيطة للتخلص من شعور ""ما إلي خلق"".⁩
شاركنا ""شو الشي الصغير اللي لو سويته الصبح بيحسن يومك للأفضل؟""",0,"02/13/2026 08:00",https://www.instagram.com/p/DUtDpBdE4L9/,"IG carousel",,Lifetime,103868,36547,1364,843,11,26,882
18103076941884884,17841401519683378,moataz_mashal,"Moataz Mashal","بدنا نغيرها و بنضل نأجل لاننا عارفين إنه مع التغيير بيجي شعور عدم الراحة، فبنحكي بعدين او بنبدأ و نوقف.

ولكن لما يكون عندك الوعي و القناعة إنه هاد شعور عدم الارتياح طبيعي ولازم تمر فيه و تفكر ديماً في التحسن اللي رح يصير بحياتك بعد هاي الفترة رح تكمل بإذن الله.⁩⁩",45,"02/14/2026 08:00",https://www.instagram.com/reel/DUvofCxiAKr/,"IG reel",,Lifetime,47228,30854,1411,233,14,22,324
18071342156424242,17841401519683378,moataz_mashal,"Moataz Mashal","⁨	بتعرف انت عن جد من وين بتستمد قيمتك؟ إذا من شغلك اسمع الفيديو للآخر … وشاركه مع حدا ما بيعرف مين هو بدون عمله.⁩",75,"02/15/2026 08:01",https://www.instagram.com/reel/DUyTh0RiCUd/,"IG reel",,Lifetime,63442,41592,2245,571,73,46,611
17867324247475871,17841401519683378,moataz_mashal,"Moataz Mashal","اسمع الفيديو للآخر و شوف إذا عندك واحدة من هدول الأشياء؟!⁩

مش غلط إنه يهمك ولكن كتير غلط  إنه يكون هو الأهم عندك.",0,"02/16/2026 04:58",https://www.instagram.com/reel/DU0dLo_CGL-/,"IG reel",,Lifetime,45549,29241,1184,233,26,33,309
18165768343404603,17841401519683378,moataz_mashal,"Moataz Mashal","⁨	بتقارن بين مين كنت امس و مين صرت اليوم؟ هل في تحسن؟⁩",8,"02/17/2026 07:59",https://www.instagram.com/reel/DU3Ws5UiFdx/,"IG reel",,Lifetime,49514,27909,806,219,3,11,223
18191758615357622,17841401519683378,moataz_mashal,"Moataz Mashal","كل عام و كل أهلي و حبايبي بخير، رمضان كريم علينا جميعاً

انتظروا الاعلان و فتح باب التسجيل في دورة عيشها بوعي 2، دورة مجانية في شهر رمضان، سيتم فتح باب التسجيل خلال ايام تابعونا.",0,"02/18/2026 08:33",https://www.instagram.com/reel/DU5_WPYkymc/,"IG reel",,Lifetime,69308,42765,3170,908,152,643,536
18129477838469961,17841401519683378,moataz_mashal,"Moataz Mashal","⁨	⁨رمضان فرصة إنك عن جد تسأل حالك انت بمين رابط طمأنينتك وسلامك؟⁩

ترقبوا فتح باب التسجيل في دورة عيشها بوعي 2، دورة مجانية خلال شهر رمضان الكريم.",0,"02/19/2026 04:34",https://www.instagram.com/reel/DU8IuIeEwzz/,"IG reel",,Lifetime,42182,25435,1559,283,23,30,366
18055670147703393,17841401519683378,moataz_mashal,"Moataz Mashal","⁨	يا اخي خليه يتعود و يدلع 😀 

سيتم فتح باب التسجيل في دورة عيشها بوعي 2 المجانية قريباً جداً 

تابعونا💪⁩⁩ 

مين معنا بالدورة بإذن الله؟",0,"02/20/2026 08:40",https://www.instagram.com/reel/DU_JqkACOqh/,"IG reel",,Lifetime,43396,27638,1320,283,16,50,313
