"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Follows,Comments,Saves
18095465401749971,17841401519683378,moataz_mashal,"Moataz Mashal","درس #11: تعلمت إنه الإنضباط يتفوق بمراحل على أي دافع و أي تحفيز ..

شو الأشي اللي منضبط عليه كل يوم و مستحيل تغيره شو ما صار؟",0,"10/20/2025 09:02",https://www.instagram.com/reel/DQCXr96E1QM/,"IG reel",,Lifetime,82615,51140,3253,914,64,41,833
17970329591950217,17841401519683378,moataz_mashal,"Moataz Mashal","شاركنا ""شو أسوء شي ممكن يصير لو نجحت؟""",70,"10/21/2025 09:00",https://www.instagram.com/reel/DQE8KItEynD/,"IG reel",,Lifetime,68864,42161,2400,453,51,44,518
17896722768183358,17841401519683378,moataz_mashal,"Moataz Mashal","التغيير ما بيجي مرة واحدة، التغيير الصحيح بيجي لما تاخد خطوات صغيرة بوعي...",7,"10/22/2025 00:10",https://www.instagram.com/reel/DQGkE1Ek5UA/,"IG reel",,Lifetime,75217,48115,1537,177,17,14,196
18084118879822697,17841401519683378,moataz_mashal,"Moataz Mashal","🔁 Repost

بتحمد ربك على النعم اللي بحياتك؟

مقدر كل شي ربك أعطاك إياه؟

عارف إنه في أشخاص كتير بتتمنى تكون بمكانك وعندها الأشياء اللي أنت مش عجبيتك ومش مبسوط بها؟ 

إذا حاسس بكل هاد و مقدر أكتب الحمد لله و خد قرار إنك كل شي بتعمله و أنت حاسس إنه تقيل على قلبك تغير نظرتك ليه وتسويه بكل حب وشكر لربك  ولكل من حولك 

شاركنا ""شو النعمة اللي لاحظتها هلأ وعم تشكر ربك عليها؟""",0,"10/30/2025 10:24",https://www.instagram.com/reel/DQcQxxLCBtQ/,"IG reel",,Lifetime,143784,99626,5071,3114,83,180,859
18097483567826525,17841401519683378,moataz_mashal,"Moataz Mashal","شو الملف اللي رح تبدأ فيه؟
اكتبه بالتعليقات، اكتبه في نوت على التليفون، ابعته في رسالة لحالك، عشان تضل متذكر ان لازم تبدأ فيه و عن جد تاخد خطوة و تبدأ تسكر هاي الملفات القديمة واحدة واحدة بإذن الله.💪🙏",75,"11/05/2025 07:52",https://www.instagram.com/reel/DQrjB43k64_/,"IG reel",,Lifetime,101460,51175,3122,809,139,60,783
18026079914768772,17841401519683378,moataz_mashal,"Moataz Mashal","درس #12: تعلمت انه الناس بتحترم الحدود اللي انت بتحطها مش الحدود اللي أنت بتتمناها",0,"11/07/2025 08:01",https://www.instagram.com/reel/DQwtqCQiDKJ/,"IG reel",,Lifetime,179503,118080,7211,2016,330,94,1783
17867396061530191,17841401519683378,moataz_mashal,"Moataz Mashal","كلنا عنا هاي الماكينات اللي بنشغلها ""سوشال ميديا، شغل إضافي، أو طلعات مالها داعي"" بس عشان ما نقعد مع حالنا ، لأننا بنعرف إن الهدوء هو المراية اللي بتكشف كل شي مخبى.

 تعوّدنا نعتبر الانشغال ""شطارة او إنجاز""، بس الحقيقة إنه أحياناً بيكون ""درع"" بنحمي فيه حالنا من مواجهة أفكارنا

طفي الماكينات شوي.. اسمع افكارك، واسمع مشاعرك و اتعلم منهم.",114,"12/24/2025 07:29",https://www.instagram.com/reel/DSprcMrE9Vw/,"IG reel",,Lifetime,110874,71575,3748,738,93,82,700
18098667106853173,17841401519683378,moataz_mashal,"Moataz Mashal",".
في ناس بتتسلق سنين، تضحي، تتعب، تتحمّل، ولما توصل فوق بتوقف و تحس انها مش بالمكان الصح.

الشجاعة هون إنك تعترف إنك كنت عم تركض مش لأنك مؤمن بالطريق، بس لأنك خفت توقف.

خفت تسأل السؤال اللي ممكن يغيّر كل شي ""هل هذا الهدف هو اللي عن جد رح أكون فخور بحالي لما أوصل له؟""

سنين من التعب، من السهر، من التحمل، من إقناع حالك إن الألم دليل علي صحّة الطريق.
ولكن لما بتوصل… بتكتشف إنك ما وصلت، بتكتشف إنك كنت عم تطارد وهم اسمه «نجاح»، بس ما كان نجاحك اللي بدك إياه.

في ناس رح تحكيلك، حرام كل هالتعب، وغيرهم رح يحكيلك المهم إنك وصلت.

بس الحقيقة اللي ما حد بيحب يسمعها، إنه القمة اللي ما بتعطيك سلام داخلي هي مجرد صخرة عالية.
مكان ممكن تتصور عليه، بس ما بتقدر تسكن فيه.

مش عيب تنزل، العيب إنك تضلك واقف بس عشان ما يبان إنك غيّرت رأيك.
مش ضعف تعترف إنك اخترت غلط، الضعف إنك تعرف وتكابر.

أحيانًا أعظم إنجاز مش إنك تطلع أكتر، بل إنك تمتلك شجاعة النزول عن القمة الغلط وتبدأ من الصفر، بس هاي المرة على الجبل الصح.

مش كل تعب اسمه إنجاز، ومش كل قمة معناها إنك وصلت.

قبل ما تضيع سنة جديدة من عمرك على نفس الطريق، وقف و اسأل حالك بصدق ""هل هذا الطريق يشبهني فعلًا؟ ولا أنا بس تعوّدت أمشي فيه؟""",0,"12/25/2025 07:02",https://www.instagram.com/p/DSsNUnsk5ST/,"IG image",,Lifetime,64120,30427,772,12,2,27,39
17899652013203746,17841401519683378,moataz_mashal,"Moataz Mashal","اللي بتسميه شخصيتك يمكن يكون بس وضع طارئ 
اتكوّن عشان تنجوا، مش عشان تعيش.
اسأل حالك: هل هاي شخصيتي الحقيقية؟ ولا ردّة فعل قديمة نسيت تطلع منها؟",0,"12/28/2025 07:12",https://www.instagram.com/reel/DSz8tB3E3vC/,"IG reel",,Lifetime,542357,399016,21262,19717,5803,361,10106
17862230406487067,17841401519683378,moataz_mashal,"Moataz Mashal","إنت ما وقعت بالحب.. إنت ""وظفت"" ممثل.

تكرار نفس النوعية من الناس بحياتك مش ""حظ سيء""، هاد عقلك الباطن بيختار شخص بيشبه ""جرح قديم""، عشان يحاول يعيد المشهد ويصلح النهاية هالمرة.

بصراحة.. شو الصفة اللي تكررت بكل اللي حبيتهم؟",0,"12/29/2025 07:08",https://www.instagram.com/reel/DS2hC24E_-W/,"IG reel",,Lifetime,127925,68457,1727,455,13,35,794
